HID,Hotel,Price,Number of Reviews,Desirable
HID517,G,1000,247,4.5
HID518,G,1000,248,3.8
HID519,G,1000,249,4.5
HID520,G,1000,250,3.8
HID521,G,1000,251,4.6
HID522,G,1000,252,2.9
HID523,G,1000,253,3.4
HID524,G,1000,254,4.4
HID525,G,1000,255,4.4
HID526,G,1000,256,4.6
HID527,G,1000,257,2.9
HID528,G,1000,258,3.4
HID529,G,1000,259,4.4
HID530,G,1000,260,4.4
HID531,G,1000,261,4.6
HID532,G,1000,262,2.9
HID533,G,1000,263,3.4
HID534,G,1000,264,4.4
HID535,G,1000,265,4.4
HID536,G,1000,266,4.6
HID537,G,1000,267,2.9
HID538,G,1000,268,3.4
HID539,G,1000,269,4.4
HID540,G,1000,270,4.4
HID541,G,1000,271,3.9
HID542,G,1000,272,4
HID543,G,1000,273,3.9
HID544,G,1000,274,4
HID545,G,1000,275,3.9
HID546,G,1000,276,4
HID547,G,1000,277,3.9
HID548,G,1000,278,4
HID549,G,1000,279,2.9
HID550,G,1000,280,2.9
HID551,G,1000,281,2.9
HID552,G,1000,282,2.9
HID553,G,1000,283,3.7
HID554,G,1000,284,3.8
HID555,G,1000,285,3.7
HID556,G,1000,286,3.8
HID557,G,1000,287,3.7
HID558,G,1000,288,3.8
HID559,G,1000,289,3.7
HID560,G,1000,290,3.8
HID561,G,1000,291,3.6
HID562,G,1000,292,3.8
HID563,G,1000,293,4.4
HID564,G,1000,294,3.6
HID565,G,1000,295,3.8
HID566,G,1000,296,4.4
HID567,G,1000,297,3.6
HID568,G,1000,298,3.8
HID569,G,1000,299,4.4
HID570,G,1000,300,3.6
HID571,G,1000,301,3.8
HID572,G,1000,302,4.4
HID573,G,1000,303,4.7
HID574,G,1000,304,4.7
HID575,G,1000,305,4.7
HID576,G,1000,306,4.7
HID577,G,1000,307,4.3
HID578,G,1000,308,4.3
HID579,G,1000,309,4.3
HID580,G,1000,310,4.3
HID581,G,1000,311,4
HID582,G,1000,312,4
HID583,G,1000,313,4
HID584,G,1000,314,4
HID585,G,1000,315,4.6
HID586,G,1000,316,4.5
HID587,G,1000,317,3.8
HID588,G,1000,318,3.8
HID589,G,1000,319,3.4
HID590,G,1000,320,4.1
HID591,G,1000,321,4.6
HID592,G,1000,322,4.5
HID593,G,1000,323,3.8
HID594,G,1000,324,3.8
HID595,G,1000,325,1.5
HID596,G,1000,326,1.5
HID597,G,1000,327,4.6
HID598,G,1000,328,4.5
HID599,G,1000,329,3.8
HID600,G,1000,330,3.8
HID601,G,1000,331,2
HID602,G,1000,332,2
HID603,G,1000,333,4.6
HID604,G,1000,334,4.5
HID605,G,1000,335,3.8
HID606,G,1000,336,3.8
HID607,G,1000,337,3.5
HID608,G,1000,338,3.5
HID609,G,1000,339,4
HID610,G,1000,340,4
HID611,G,1000,341,4
HID612,G,1000,342,4
HID613,G,1000,343,3.7
HID614,G,1000,344,4.6
HID615,G,1000,345,3.7
HID616,G,1000,346,4.6
HID617,G,1000,347,3.7
HID618,G,1000,348,4.6
HID619,G,1000,349,3.7
HID620,G,1000,350,4.6
HID621,G,1000,351,3.6
HID622,G,1000,352,3.6
HID623,G,1000,353,3.6
HID624,G,1000,354,3.6
HID625,G,1000,355,3.4
HID626,G,1000,356,3.4
HID627,G,1000,357,3.4
HID628,G,1000,358,3.4
HID629,G,1000,359,3.6
HID630,G,1000,360,3.6
HID631,G,1000,361,3.6
HID632,G,1000,362,3.6
HID633,G,1000,363,3.8
HID634,G,1000,364,3.4
HID635,G,1000,365,3.8
HID636,G,1000,366,3.8
HID637,G,1000,367,3.4
HID638,G,1000,368,3.8
HID639,G,1000,369,3.8
HID640,G,1000,370,3.4
HID641,G,1000,371,3.8
HID642,G,1000,372,3.8
HID643,G,1000,373,3.4
HID644,G,1000,374,3.8
HID645,G,1000,375,3.1
HID646,G,1000,376,3.1
HID647,G,1000,377,3.1
HID648,G,1000,378,3.1
HID649,G,1000,379,3.9
HID650,G,1000,380,3.9
HID651,G,1000,381,3.9
HID652,G,1000,382,3.9
HID653,G,1000,383,2.9
HID654,G,1000,384,2.9
HID655,G,1000,385,2.9
HID656,G,1000,386,2.9
HID657,G,1000,387,3.7
HID658,G,1000,388,3.7
HID659,G,1000,389,3.7
HID660,G,1000,390,3.7
HID661,G,1000,391,4.3
HID662,G,1000,392,4.3
HID663,G,1000,393,4.3
HID664,G,1000,394,4.3
HID665,G,1000,395,4.1
HID666,G,1000,396,4.1
HID667,G,1000,397,4.1
HID668,G,1000,398,4.1
HID669,G,1000,399,4.5
HID670,G,1000,400,4.5
HID671,G,1000,401,4.5
HID672,G,1000,402,4.5
HID673,G,1000,403,4.2
HID674,G,1000,404,4.2
HID675,G,1000,405,4.2
HID676,G,1000,406,4.2
HID677,G,1000,407,4.4
HID678,G,1000,408,4.4
HID679,G,1000,409,4.4
HID680,G,1000,410,4.4
HID681,G,1000,411,3.2
HID682,G,1000,412,3.2
HID683,G,1000,413,3.2
HID684,G,1000,414,3.2
HID685,G,1000,415,3.1
HID686,G,1000,416,3.1
HID687,G,1000,417,3.1
HID688,G,1000,418,3.1
HID689,G,1000,419,2.9
HID690,G,1000,420,2.9
HID691,G,1000,421,2.9
HID692,G,1000,422,2.9
HID693,G,1000,423,3.7
HID694,G,1000,424,3.7
HID695,G,1000,425,3.7
HID696,G,1000,426,3.7
HID697,G,1000,427,4.5
HID698,G,1000,428,4.5
HID699,G,1000,429,4.5
HID700,G,1000,430,4.5
HID701,G,1000,431,3.8
HID702,G,1000,432,3.8
HID703,G,1000,433,3.8
HID704,G,1000,434,3.8
HID705,G,1000,435,3.9
HID706,G,1000,436,3.9
HID707,G,1000,437,3.9
HID708,G,1000,438,3.9
HID709,G,1000,439,3.5
HID710,G,1000,440,3.5
HID711,G,1000,441,3.5
HID712,G,1000,442,3.5
HID713,G,1000,443,4.4
HID714,G,1000,444,4.4
HID715,G,1000,445,4.4
HID716,G,1000,446,4.4
HID717,G,1000,447,3.5
HID718,G,1000,448,3.5
HID719,G,1000,449,3.5
HID720,G,1000,450,3.5
HID721,G,1000,451,4.3
HID722,G,1000,452,4.3
HID723,G,1000,453,4.3
HID724,G,1000,454,4.3
HID725,G,1000,455,3.7
HID726,G,1000,456,3.7
HID727,G,1000,457,3.7
HID728,G,1000,458,3.7
HID729,G,1000,459,2.8
HID730,G,1000,460,2.8
HID731,G,1000,461,2.8
HID732,G,1000,462,2.8
HID733,G,1000,463,3.5
HID734,G,1000,464,3.5
HID735,G,1000,465,3.5
HID736,G,1000,466,3.5
HID737,G,1000,467,3.7
HID738,G,1000,468,4.4
HID739,G,1000,469,3.7
HID740,G,1000,470,4.4
HID741,G,1000,471,3.7
HID742,G,1000,472,4.4
HID743,G,1000,473,3.7
HID744,G,1000,474,4.4
HID745,G,1000,475,4
HID746,G,1000,476,4
HID747,G,1000,477,4
HID748,G,1000,478,4
HID749,G,1000,479,4.5
HID750,G,1000,480,4.6
HID751,G,1000,481,4.5
HID752,G,1000,482,4.6
HID753,G,1000,483,4.5
HID754,G,1000,484,4.6
HID755,G,1000,485,4.5
HID756,G,1000,486,4.6
HID757,G,1000,487,3.9
HID758,G,1000,488,3.9
HID759,G,1000,489,3.9
HID760,G,1000,490,3.9
HID761,G,1000,104,2.8
HID762,G,1000,104,2.8
HID763,G,1000,104,2.8
HID764,G,1000,104,2.8
HID765,G,1000,107,4.6
HID766,G,1000,107,3.7
HID767,G,1000,107,4.6
HID768,G,1000,107,3.7
HID769,G,1000,107,4.6
HID770,G,1000,107,3.7
HID771,G,1000,107,4.6
HID772,G,1000,107,3.7
HID773,G,1000,111,4
HID774,G,1000,111,4
HID775,G,1000,111,4
HID776,G,1000,111,4
HID777,G,1000,113,4.4
HID778,G,1640,113,4.4
HID779,G,1645,113,4.4
HID780,G,1650,113,4.4
HID781,G,1655,115,3.2
HID782,G,1660,115,3.9
HID783,G,1665,115,3.2
HID784,G,1670,115,3.9
HID785,G,1675,115,3.2
HID786,G,1680,115,3.9
HID787,G,1685,115,3.2
HID788,G,1690,115,3.9
HID789,G,1695,117,4.2
HID790,G,1700,117,4.2
HID791,G,1705,117,4.2
HID792,G,1710,117,4.2
HID793,G,1715,122,4
HID794,G,1720,122,4
HID795,G,1725,122,4
HID796,G,1730,122,4
HID797,G,1735,136,4.3
HID798,G,1740,136,4.3
HID799,G,1745,136,4.3
HID800,G,1750,136,4.3
HID801,G,1755,139,4.5
HID802,G,1760,139,4.5
HID803,G,1765,139,4.5
HID804,G,1770,139,4.5
HID805,G,1775,143,3.5
HID806,G,1780,143,3.5
HID807,G,1785,143,3.5
HID808,G,1790,143,3.5
HID809,G,1795,144,4.1
HID810,G,1800,144,4.1
HID811,G,1805,144,4.1
HID812,G,1810,144,4.1
HID813,G,1815,152,3.9
HID814,G,1820,152,3.9
HID815,G,1825,152,3.9
HID816,G,1830,152,3.9
HID817,G,1835,155,4.3
HID818,G,1840,155,4.3
HID819,G,1845,155,4.3
HID820,G,1850,155,4.3
HID821,G,1855,156,3.6
HID822,G,1860,156,3.6
HID823,G,1865,156,3.6
HID824,G,1870,156,3.6
HID825,G,1875,157,3.9
HID826,G,1880,157,3.9
HID827,G,1885,157,3.9
HID828,G,1890,157,3.9
HID829,G,1895,161,3.5
HID830,G,1900,161,3.5
HID831,G,1905,161,3.5
HID832,G,1910,161,3.5
HID833,G,1915,178,2.8
HID834,G,1920,178,2.8
HID835,G,1925,178,2.8
HID836,G,1930,178,2.8
HID837,G,1935,203,4.5
HID838,G,1940,203,4.5
HID839,G,1945,203,4.5
HID840,G,1950,203,4.5
HID841,G,1955,209,4.5
HID842,G,1960,209,4.5
HID843,G,1965,209,4.5
HID844,G,1970,209,4.5
HID845,G,1975,215,3.5
HID846,G,1980,215,3.5
HID847,G,1985,215,3.5
HID848,G,1990,215,3.5
HID849,G,1995,223,4.3
HID850,G,2000,223,4.3
HID851,G,2005,223,4.3
HID852,G,2010,223,4.3
HID853,G,2015,233,4.1
HID854,G,2020,233,4.1
HID855,G,2025,233,4.1
HID856,G,2030,233,4.1
HID857,G,2035,242,3.9
HID858,G,2040,242,3.9
HID859,G,2045,242,3.9
HID860,G,2050,242,3.9
HID861,G,2055,243,4
HID862,G,2060,243,4
HID863,G,2065,243,4
HID864,G,2070,243,4
HID865,G,2075,312,4.4
HID866,G,2080,312,4.4
HID867,G,2085,312,4.4
HID868,G,2090,312,4.4
HID869,G,2095,341,4.4
HID870,G,2100,341,4.4
HID871,G,2105,341,4.4
HID872,G,2110,341,4.4
HID873,G,2115,540,4.3
HID874,G,2120,540,4.3
HID875,G,2125,540,4.3
HID876,G,2130,540,4.3
HID877,G,2135,2225,4.1
HID878,G,2140,2225,4.1
HID879,G,2145,2225,4.1
HID880,G,2150,2225,4.1
